id,code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
9521,AAA,NTGA,Anaa Airport,-17.3506654,-145.51111994065877,36,,Pacific/Tahiti,AAA,PF,,,,AP
9522,AAB,YARY,Arrabury Airport,-26.6967835,141.049092,328,,Australia/Brisbane,AAB,AU,,Queensland,Barcoo Shire,AP
9523,AAC,HEAR,El Arish International Airport,31.0742836,33.829171518733695,85,,Africa/Cairo,AAC,EG,El Arish,Muhafazat Shamal Sina',,AP
9524,AAD,HCAD,Adado Airport,6.09628635,46.637708371259194,980,,Africa/Khartoum,AAD,SO,Adado,,,AP
9525,AAE,DABB,Annaba Rabah Bitat Airport,36.821392,7.811857,36,,Africa/Algiers,AAE,DZ,Annaba,Annaba,,AP
9526,AAF,KAAF,Apalachicola Regional Airport,29.7302356,-85.02964472072705,19,,America/New_York,AAF,US,Apalachicola,Florida,Franklin County,AP
9527,AAG,SSYA,Avelino Vieira Airport,-24.1037812,-49.78949435424242,2608,,America/Sao_Paulo,AAG,BR,Arapoti,Parana,Jaguariaiva,AP
9528,AAH,EDKA,Aachen-MerzbrÃ¼ck Airport,50.75,6.133333,754,https://www.flugplatz-aachen.de,Europe/Berlin,AAH,DE,Aachen,,,AP
9529,AAI,SWRA,Arraias Airport,-12.916667,-46.933334,2490,,America/Araguaina,AAI,BR,Arraias,Goias,Campos Belos,AP
9530,AAJ,SMCA,Cayana Airstrip,3.8987445,-55.5779688,278,,America/Paramaribo,AAJ,SR,Awaradam,Sipaliwini,Boven Suriname,AP
9531,AAK,NGUK,Aranuka Airport,"0.166667",173.58333,"0",,Pacific/Tarawa,AAK,KI,Buariki,,,AP
9532,AAL,EKYT,Aalborg Airport,57.0864352,9.868075521300991,19,http://www.aal.dk,Europe/Copenhagen,AAL,DK,Aalborg,North Denmark,Alborg Kommune,AP
9533,AAM,FAMD,Malamala Airport,-24.8,31.533333,1082,,Africa/Johannesburg,AAM,ZA,Malamala,,,AP
9534,AAN,OMAL,Al Ain International Airport,24.260231,55.616627,830,,Asia/Dubai,AAN,AE,Al Ain,,,AP
9535,AAO,SVAN,Anaco Airport,9.4298739,-64.47086334549915,692,,America/Caracas,AAO,VE,Anaco,Anzoategui,Municipio Anaco,AP
9536,AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,29.833332,-95.666664,154,http://www.proyek.dishubprovkaltim.info/?pro=1,America/Chicago,HOU,US,Samarinda,,,AP
9537,AAQ,URKA,Anapa Vityazevo Airport,45.00265265,37.34498313723325,137,http://basel.aero/en/anapa/,Europe/Moscow,AAQ,RU,Anapa,Krasnodarskiy,,AP
9538,AAR,EKAH,Aarhus Airport,56.304542549999994,10.612849817576597,45,http://www.aar.dk/default.asp?id=87,Europe/Copenhagen,AAR,DK,Aarhus,Central Jutland,Syddjurs Kommune,AP
9539,AAS,,Apalapsili Airport,-3.880849,139.3107060627146,3005,,Asia/Jayapura,AAS,ID,Apalapsili,,,AP
9540,AAT,ZWAT,Altay Xuedu Airport,47.74833705,88.08948249042332,2408,,Asia/Urumqi,AAT,CN,Altay,Xinjiang Uygur Zizhiqu,,AP
9541,AAU,NSAU,Asau Airport,-13.458333,-172.6,"0",,Pacific/Apia,AAU,WS,Asau,Vaisigano,,AP
9542,AAV,RPMA,Allah Valley Airport,6.36768745,124.75266160348093,629,,Asia/Manila,AAV,PH,Surallah,South Cotabato,,AP
